epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,701.539,0.94845,0.65595,1.05673,0.80076,0.70638,0.76859,0.48704,1.36066,1.05104,1.34663,0.0004952,0.0004952,0.0004952
78,711.574,0.98748,0.70113,1.08098,0.77589,0.70303,0.75876,0.4705,1.39124,1.0616,1.39078,0.0004754,0.0004754,0.0004754
79,719.752,0.96608,0.6825,1.06706,0.79686,0.6697,0.7521,0.47451,1.35214,1.06474,1.3529,0.0004556,0.0004556,0.0004556
80,729.155,0.90516,0.63612,1.05674,0.82181,0.67084,0.75612,0.46147,1.42958,1.03635,1.4188,0.0004358,0.0004358,0.0004358
81,737.06,0.97202,0.69813,1.12894,0.78469,0.67366,0.74264,0.45885,1.38777,1.04267,1.40347,0.000416,0.000416,0.000416
82,746.893,0.95092,0.65328,1.06299,0.7748,0.69852,0.76568,0.48275,1.34617,1.02705,1.35133,0.0003962,0.0003962,0.0003962
83,757.396,0.90012,0.62577,1.04248,0.8429,0.67576,0.76177,0.47235,1.38587,1.06013,1.37469,0.0003764,0.0003764,0.0003764
84,765.648,0.93987,0.62463,1.04531,0.77243,0.67887,0.75839,0.47669,1.36775,1.0493,1.36454,0.0003566,0.0003566,0.0003566
85,775.585,0.90779,0.62201,1.03842,0.80881,0.67576,0.75688,0.48405,1.33057,1.04665,1.32445,0.0003368,0.0003368,0.0003368
86,783.468,0.9076,0.64698,1.05831,0.79667,0.68788,0.75572,0.48068,1.32615,1.03122,1.32511,0.000317,0.000317,0.000317
87,792.831,0.89555,0.6218,1.04842,0.78585,0.67834,0.74597,0.47668,1.33114,1.06702,1.34166,0.0002972,0.0002972,0.0002972
88,801.682,0.91615,0.62116,1.04221,0.81928,0.65943,0.74658,0.48333,1.31968,1.06001,1.33286,0.0002774,0.0002774,0.0002774
89,810.016,0.91707,0.64381,1.0699,0.80236,0.65203,0.75491,0.48143,1.32394,1.07605,1.34038,0.0002576,0.0002576,0.0002576
90,819.933,0.89253,0.62974,1.05478,0.83992,0.6519,0.75345,0.48193,1.33526,1.03232,1.33091,0.0002378,0.0002378,0.0002378
91,829.943,0.84128,0.56877,1.00777,0.78685,0.67576,0.74886,0.47246,1.35744,1.06597,1.3553,0.000218,0.000218,0.000218
92,839.051,0.82506,0.56564,0.98492,0.74997,0.69091,0.74297,0.476,1.3366,1.05041,1.3684,0.0001982,0.0001982,0.0001982
93,847.139,0.80931,0.52638,0.98422,0.76854,0.67879,0.7531,0.47557,1.34567,1.05651,1.37025,0.0001784,0.0001784,0.0001784
94,855.373,0.78081,0.51431,0.97153,0.80257,0.67879,0.76565,0.48807,1.32528,1.03833,1.3613,0.0001586,0.0001586,0.0001586
95,863.931,0.76353,0.53298,0.96114,0.82643,0.6697,0.76708,0.48239,1.34231,1.06853,1.36132,0.0001388,0.0001388,0.0001388
96,872.301,0.75439,0.48166,0.96825,0.78275,0.67691,0.74662,0.47159,1.35014,1.07521,1.3602,0.000119,0.000119,0.000119
97,881.408,0.75754,0.48219,0.96678,0.79745,0.68788,0.75277,0.47482,1.34119,1.08218,1.35032,9.92e-05,9.92e-05,9.92e-05
98,889.133,0.765,0.47301,0.96,0.82359,0.66491,0.75308,0.48367,1.32337,1.06164,1.34502,7.94e-05,7.94e-05,7.94e-05
99,899.123,0.72741,0.47884,0.94504,0.80204,0.67273,0.7519,0.48077,1.32614,1.06002,1.35219,5.96e-05,5.96e-05,5.96e-05
100,906.323,0.73748,0.46871,0.95428,0.84123,0.65152,0.74869,0.47727,1.32309,1.06642,1.35224,3.98e-05,3.98e-05,3.98e-05
