epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,8786.29,0.52097,0.77637,1.04791,0.81475,0.66571,0.76251,0.6419,0.74271,0.93613,1.00176,2.5407e-05,2.5407e-05,2.5407e-05
84,8892.78,0.52511,0.78396,1.04974,0.81512,0.66321,0.75896,0.63697,0.73726,0.93815,0.99571,2.40705e-05,2.40705e-05,2.40705e-05
85,8999.98,0.53316,0.79649,1.05199,0.79487,0.67337,0.76183,0.64049,0.73709,0.93188,0.99538,2.2734e-05,2.2734e-05,2.2734e-05
86,9106.39,0.53397,0.78591,1.05627,0.78111,0.69664,0.76607,0.64237,0.73685,0.93437,0.99832,2.13975e-05,2.13975e-05,2.13975e-05
87,9212.54,0.51737,0.7642,1.04681,0.73886,0.73301,0.76479,0.6417,0.73768,0.92348,0.99762,2.0061e-05,2.0061e-05,2.0061e-05
88,9317.73,0.51151,0.77282,1.04375,0.8147,0.67369,0.76175,0.64046,0.73593,0.91738,0.99647,1.87245e-05,1.87245e-05,1.87245e-05
89,9422.87,0.51743,0.7657,1.04366,0.78245,0.70372,0.76651,0.64172,0.7347,0.91594,0.99638,1.7388e-05,1.7388e-05,1.7388e-05
90,9528.07,0.51774,0.76586,1.04447,0.76935,0.70945,0.77055,0.65,0.73035,0.91242,0.99253,1.60515e-05,1.60515e-05,1.60515e-05
91,9628.45,0.55238,0.63899,1.09247,0.81248,0.68735,0.76236,0.64114,0.73028,0.93339,0.99771,1.4715e-05,1.4715e-05,1.4715e-05
92,9723.68,0.52765,0.61697,1.07544,0.79795,0.68915,0.76416,0.64191,0.72985,0.92709,0.99745,1.33785e-05,1.33785e-05,1.33785e-05
93,9821.15,0.52634,0.61096,1.07721,0.81983,0.68778,0.76209,0.64196,0.72428,0.9218,0.99029,1.2042e-05,1.2042e-05,1.2042e-05
94,9916.82,0.52071,0.58339,1.07638,0.81382,0.68864,0.7626,0.64455,0.7199,0.91566,0.98626,1.07055e-05,1.07055e-05,1.07055e-05
95,10011.9,0.50986,0.59134,1.06474,0.81078,0.69386,0.76578,0.64771,0.71712,0.90782,0.98484,9.369e-06,9.369e-06,9.369e-06
96,10109.6,0.5088,0.57327,1.06086,0.76577,0.71606,0.76828,0.6504,0.71649,0.90334,0.98599,8.0325e-06,8.0325e-06,8.0325e-06
97,10207,0.50301,0.57089,1.06052,0.71781,0.74986,0.76914,0.64781,0.71342,0.90338,0.98525,6.696e-06,6.696e-06,6.696e-06
98,10303.6,0.50347,0.56639,1.06056,0.72106,0.74997,0.76829,0.64856,0.7097,0.89782,0.98268,5.3595e-06,5.3595e-06,5.3595e-06
99,10398.1,0.49573,0.55903,1.05684,0.81254,0.67911,0.76839,0.65247,0.7094,0.90048,0.98303,4.023e-06,4.023e-06,4.023e-06
100,10496.4,0.49615,0.55439,1.05992,0.70794,0.75174,0.76924,0.65243,0.70913,0.89959,0.98395,2.6865e-06,2.6865e-06,2.6865e-06
